Commit_Length Term NodeID Last_Log_Index Last_Log_Term
-1 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 0 1
0 1 3 1 1
1 1 3 1 1
1 1 3 1 1
1 1 3 1 1
1 1 3 1 1
1 1 3 1 1
1 1 3 1 1
1 1 3 1 1
1 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 2 1
2 1 3 3 1
3 1 3 3 1
3 1 3 3 1
3 1 3 3 1
3 1 3 3 1
3 1 3 3 1
3 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 1 3 4 1
4 3 3 4 1
4 5 3 4 1
4 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 5 5
5 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 6 5
6 5 3 7 5
7 5 3 7 5
7 5 3 7 5
7 5 3 7 5
