Commit_Length Term NodeID Last_Log_Index Last_Log_Term
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 0 1
0 1 4 1 1
1 1 4 1 1
1 1 4 1 1
1 1 4 1 1
1 1 4 1 1
1 1 4 1 1
1 1 4 1 1
1 1 4 1 1
1 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 2 1
2 1 4 3 1
3 1 4 3 1
3 1 4 3 1
3 1 4 3 1
3 1 4 3 1
3 1 4 3 1
3 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 1 4 4 1
4 3 4 4 1
4 5 4 4 1
4 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 5 5
5 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 6 5
6 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 5 4 7 5
7 15 4 7 5
7 17 4 7 5
7 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 17 4 8 17
8 19 4 8 17
8 21 4 8 17
8 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 9 21
9 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
10 21 4 10 21
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
11 23 4 11 23
