Commit_Length Term NodeID Last_Log_Index Last_Log_Term
-1 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 0 1
0 1 2 1 1
1 1 2 1 1
1 1 2 1 1
1 1 2 1 1
1 1 2 1 1
1 1 2 1 1
1 1 2 1 1
1 1 2 1 1
1 1 2 2 1
2 1 2 2 1
2 1 2 2 1
2 1 2 2 1
2 1 2 2 1
2 1 2 2 1
2 1 2 2 1
2 1 2 2 1
4 1 2 4 1
4 1 2 4 1
4 1 2 4 1
4 1 2 4 1
4 1 2 4 1
4 1 2 4 1
4 1 2 4 1
4 1 2 4 1
4 3 2 5 3
5 5 2 5 3
5 5 2 6 5
6 5 2 6 5
6 5 2 7 5
7 5 2 7 5
7 15 2 7 5
7 17 2 7 5
7 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 17 2 8 17
8 19 2 9 19
9 21 2 9 19
9 21 2 10 21
10 21 2 10 21
10 23 2 10 21
10 23 2 11 23
10 23 2 11 23
11 23 2 11 23
11 23 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 24 2 11 23
11 28 2 11 23
11 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 12 28
12 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 28 2 13 28
13 30 2 13 28
13 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
14 30 2 14 30
