Commit_Length Term NodeID Last_Log_Index Last_Log_Term
0 1 1 0 1
0 1 1 1 1
1 1 1 1 1
1 1 1 2 1
2 1 1 2 1
2 1 1 3 1
3 1 1 3 1
3 1 1 4 1
4 1 1 4 1
7 5 1 4 1
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 5 1 7 5
7 15 1 8 15
8 17 1 8 15
10 23 1 8 15
10 23 1 8 15
10 23 1 8 15
11 23 1 11 23
11 23 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
11 24 1 11 23
