Commit_Length Term NodeID Last_Log_Index Last_Log_Term
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 0 1
0 1 5 1 1
1 1 5 1 1
1 1 5 1 1
1 1 5 1 1
1 1 5 1 1
1 1 5 1 1
1 1 5 1 1
1 1 5 1 1
1 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 2 1
2 1 5 3 1
3 1 5 3 1
3 1 5 3 1
3 1 5 3 1
3 1 5 3 1
3 1 5 3 1
3 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 1 5 4 1
4 3 5 4 1
4 5 5 4 1
4 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 5 5
5 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 6 5
6 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 5 5 7 5
7 17 5 7 5
7 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 17 5 8 17
8 19 5 8 17
8 21 5 8 17
8 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
9 21 5 9 21
